0
1
2
3
4
5
6
7
8
18780
         4609816 function calls (4606727 primitive calls) in 41.508 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
        1    0.008    0.008    0.650    0.650 __init__.py:101(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
       22    0.024    0.001    0.137    0.006 __init__.py:1016(_rc_params_in_file)
        1    0.004    0.004    0.412    0.412 __init__.py:106(<module>)
       22    0.001    0.000    0.169    0.008 __init__.py:1093(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:113(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:1259(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:1375(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
       14    0.000    0.000    0.001    0.000 __init__.py:144(_check_size)
        3    0.000    0.000    0.001    0.000 __init__.py:146(compare_versions)
        1    0.009    0.009    0.030    0.030 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
       39    0.000    0.000    0.000    0.000 __init__.py:1579(unpack_labeled_data)
       39    0.002    0.000    0.010    0.000 __init__.py:1617(param)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:17(register)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.082    0.082 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:186(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:190(c_uint)
        1    0.109    0.109    1.692    1.692 __init__.py:193(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
        4    0.000    0.000    0.011    0.003 __init__.py:212(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:241(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
        1    0.000    0.000    0.001    0.001 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:265(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:269(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:280(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:288(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:294(loads)
       23    0.000    0.000    0.000    0.000 __init__.py:297(report)
        2    0.003    0.002    0.017    0.009 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:308(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
    14/10    0.000    0.000    0.003    0.000 __init__.py:319(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
       23    0.000    0.000    0.000    0.000 __init__.py:331(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:356(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:385(PyDLL)
        1    0.015    0.015    0.058    0.058 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:425(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:428(checkdep_ps_distiller)
        2    0.014    0.007    0.046    0.023 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:469(checkdep_usetex)
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:491(CFunctionType)
        9    0.000    0.000    0.001    0.000 __init__.py:513(_get_home)
        2    0.000    0.000    0.000    0.000 __init__.py:572(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:586(_get_xdg_cache_dir)
        4    0.000    0.000    0.011    0.003 __init__.py:600(_get_config_or_cache_dir)
